Title,Abstract
Embankment Pier,"Embankment Pier is a pier on the River Thames in City of Westminster, London. It is located on the north bank of the river, immediately next to the Hungerford Bridge and directly outside the river entrance to Embankment Underground station. It is also conveniently close to Charing Cross railway station.
"
Palmate newt,"L. helveticus helveticus
L. helveticus punctillatus
L. helveticus alonsoi
The palmate newt (Lissotriton helveticus) is a species of newt found in most of Western Europe, including Great Britain. It is protected by law in all countries where it occurs, and is thought to be extremely rare to endangered in the Netherlands, Belgium, and Luxembourg, and vulnerable in Spain and Poland, but common elsewhere.
The palmate newt is a relatively small species, males reaching only about 8.5 cm and females 9.5 cm.[2]
The base colour of both sexes is olive-green or brown, and a dark mask-like line runs across the head through the eyes; males and some females have a dark spotting on their backs. Sometimes confused with the smooth newt, the palmate does not have the spotted throat of the smooth newt, but both sexes have yellow or pale-orange bellies that can show some spotting.
The male has webbed hind feet and a low, smooth crest along the back that continues into a slightly higher crest on the tail, ending in a thread-like tip during the breeding season of April - May. Males can also have enlarged cloacal regions when close to breeding due to the spermatophores exerting pressure on the cloacal tissue. The crest and filament become less obvious and may disappear at other times when they become terrestrial. Males also have marked dorsolateral ridges, giving them a rather square cross-section. Females grow to 10 cm (3.9 in) and males to 8.5 cm (3.3 in). During the breeding season, they are active during the day, as well as night, but outside this period, activity is restricted to rainy or humid nights.
It lives in ponds, lakes, canals, marshes, forests, pasture, or agricultural land, sometimes in acid pools on upland moorland or coastal areas. It spends the breeding season in water, laying 100 to 300 eggs which hatch into larvae in about two to three weeks, and then metamorphose after a further six to 9 weeks. In colder areas, the larvae often overwinter in the water and then metamorphose the next year. They become sexually mature in the second year, but neoteny is also known to occur in this species. Adults hibernate on land under logs and stones between November and March, or more rarely in water.
They feed on invertebrates, small crustaceans, planktonic animals, daphnia, and frog tadpoles. They are also known to display cannibalistic tendencies and they can live for up to 10 years.
"
High Wycombe Urban Area,"The High Wycombe Urban Area is defined by the Office for National Statistics as a conurbation is southern Buckinghamshire. It had a population of 133,204 at the 2011 census.[1] The area had a population of 118,229 at the 2001 census.[2] The largest population centre is High Wycombe itself at 120,000.
Notes:
"
Ministry of Defence Police,"The Ministry of Defence Police (MDP) is a civilian special police force which is part of the United Kingdom's Ministry of Defence. The MDP are not military police and should not be confused with the Royal Military Police or any other Service Police organisation.
Although superficially similar to other UK police forces, the MDP is significantly different in role, function and accountability. The MDP's primary responsibilities are to provide armed security and counter terrorism services, as well as uniformed policing and limited investigative services to Ministry of Defence property, personnel, and installations throughout the United Kingdom.
The different role is clearly borne out by the number of arrests made by MDP officers against forces with similar numbers of police officers (Sussex Police and Avon and Somerset Constabulary).  In 2016, MDP officers made 61 arrests.[3] In comparison, in the year ending March 2017, Sussex Police made 17,506 arrests whilst Avon & Somerset Constabulary recorded 26,694 arrests for notifiable crimes.[4]
MDP officers are attested as constables under the Ministry of Defence Police Act 1987. All MDP officers are trained as Authorised Firearms Officers (AFOs) and 90% of those on duty are armed at any given time.
The force was originally formed in 1971 by the merger of three separate service constabularies: the Air Force Department Constabulary, the Army Department Constabulary, and the Admiralty Constabulary. The force, which consists of two divisions, is headquartered at MDP Wethersfield, Essex.
The force has a number of specialised departments and also provides officers for international policing secondments; including overseas and training of resident police forces in these areas. These overseas missions are carried out under the mandates of the United Nations, NATO, or the Foreign and Commonwealth Office. Most recent overseas deployments have been to Afghanistan to train Afghan National Police(ANP) forces in policing skills.
The MDP underwent a significant restructuring as part of the coalition government's post 2010 austerity measures, and the Strategic Defence and Security Review. Its budget was cut from £360 million to £180 million and it was to lose 20% of its manpower and up to 50% of its stations by 2016.[1] The new, smaller force will concentrate on ""high end"" tasks such as nuclear weapons security and mobile armed policing of the defence estate.[5]
As of March 2019 the force had a workforce of around 2,549 police officers and 227 police staff based at numerous defence and infrastructure locations across the United Kingdom.[6]  In terms of officer numbers, it is the second largest of the three special police forces and 18th largest of the 48 police forces of the United Kingdom overall.  The MDP has the second highest number of officers trained as AFOs of any police force, after the Metropolitan Police Service, who as of March 2019, had 2,623 AFOs.[7]
"
,
John Galliano,"John Charles Galliano[2] CBE, RDI (born 28 November 1960) is a Gibraltar-born British fashion designer who was the head designer of French fashion companies Givenchy (July 1995 to October 1996), Christian Dior (October 1996 to March 2011), and his own label John Galliano (1988 to 2011).[3] At present, Galliano is the creative director of Paris-based fashion house Maison Margiela.[4]
Galliano has been named British Designer of the Year four times. In a 2004 poll for the BBC, he was named the fifth most influential person in British culture.[5][6]
"
,
"Ware, Hertfordshire","Ware is a town of around 18,800 people in Hertfordshire, England close to the county town of Hertford. It is also a civil parish in East Hertfordshire district. The Prime Meridian passes to the east of Ware.[2]
"
Sex Pistols,"The Sex Pistols were an English punk rock band that formed in London in 1975. They were responsible for initiating the punk movement in the United Kingdom and inspiring many later punk and alternative rock musicians. Although their initial career lasted just two and a half years and produced only four singles and one studio album, Never Mind the Bollocks, Here's the Sex Pistols, they are regarded as one of the most influential acts in the history of popular music.[1][2]
The Sex Pistols originally comprised vocalist Johnny Rotten (John Lydon), guitarist Steve Jones, drummer Paul Cook and bassist Glen Matlock. Matlock was replaced by Sid Vicious in early 1977. Under the management of Malcolm McLaren, the band attracted controversies that both captivated and appalled Britain. Through an obscenity-laced television interview in December 1976 and their May 1977 single ""God Save the Queen"", attacking Britons' social conformity and deference to the Crown, they precipitated the punk rock movement.
In January 1978, at the end of an over-hyped and turbulent tour of the United States, Rotten announced the band's break-up. Over the next few months, the three remaining band members recorded songs for McLaren's film version of the Sex Pistols' story, The Great Rock 'n' Roll Swindle. Vicious died of a heroin overdose in February 1979, following his arrest for the alleged murder of his girlfriend.
Rotten, Jones, Cook and Matlock briefly reunited for a concert tour in 1996. On 24 February 2006, the Sex Pistols—the four original members plus Vicious—were inducted into the Rock and Roll Hall of Fame, but they refused to attend the ceremony, calling the museum ""a piss stain"".[3]
"
Timeline of London,"The following is a timeline of the history of London, the capital of England and the United Kingdom.
"
